ID,microchip,speice,sex,size,potenciallyDangrous,neighborhood
0480-CHMSI-SIN IDENTIFICAR,978101081210480,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0561-CHMSI-SIN IDENTIFICAR,978101081210561,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
10586-CMMSI-SIN IDENTIFICAR,978101081210586,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0592-CMMSI-SIN IDENTIFICAR,978101081210592,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0639-CHMSI-SIN IDENTIFICAR,978101081210639,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0658-CHMSI-SIN IDENTIFICAR,978101081210658,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0670-CMMSI-SIN IDENTIFICAR,978101081210670,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
10672-CHMSI-SIN IDENTIFICAR,978101081210672,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0673-CHMSI-SIN IDENTIFICAR,978101081210673,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0771-CMMSI-SIN IDENTIFICAR,978101081210771,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0778-CMMSI-SIN IDENTIFICAR,978101081210778,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0785-CHMSI-SIN IDENTIFICAR,978101081210785,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
797-FHMSI-SIN IDENTIFICAR,978101081210797,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0799-CHMSI-SIN IDENTIFICAR,978101081210799,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0802-CHMSI-SIN IDENTIFICAR,978101081210802,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
10814-FHMSI-SIN IDENTIFICAR,978101081210814,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0823-CHMSI-SIN IDENTIFICAR,978101081210823,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
1997-CHMSI-SIN IDENTIFICAR,978101081211997,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
2863-CMMSI-SIN IDENTIFICAR,978101081212863,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2877-FMMSI-SIN IDENTIFICAR,978101081212877,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2879-CHMSI-SIN IDENTIFICAR,978101081212879,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
2885-CMMSI-SIN IDENTIFICAR,978101081212885,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
893-CMMSI-SIN IDENTIFICAR,978101081212893,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
901-CMMSI-SIN IDENTIFICAR,978101081212901,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2905-CHMSI-SIN IDENTIFICAR,978101081212905,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
12911-CMMSI-SIN IDENTIFICAR,978101081212911,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
912-FMMSI-SIN IDENTIFICAR,978101081212912,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2914-CMMSI-SIN IDENTIFICAR,978101081212914,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2920-CMMSI-SIN IDENTIFICAR,978101081212920,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2935-FHMSI-SIN IDENTIFICAR,978101081212935,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
